순번,회사명,공장대표주소,업종명,생산품,전화번호,팩스번호
159,(주)다온지능정보 마산공장,경상남도 창원시 마산회원구 내서읍 광려천남로 59 경남로봇랜드재단 8층 814호,그 외 기타 전자부품 제조업,차량속도 측정기,055-262-3112,055-601-1889
160,(주)다올산전,경상남도 창원시 의창구 차룡로48번길 44 (팔용동) 1동 B1층 B111호,배전반 및 전기 자동제어반 제조업,배전반 및 전기자동 제어반,055-253-1868,055-295-1868
161,(주)다울피피티,경상남도 창원시 성산구 월림로65번길 28 (신촌동),그 외 기타 특수목적용 기계 제조업,용접 자동화 장비,055-326-0913,051-980-5343
162,(주)다은에프에이,"경상남도 창원시 의창구 소계로 12, 테크동 302호 (팔용동, 창원테크노밸리) (팔용동)",배전반 및 전기 자동제어반 제조업,"PLC(프로그램내장컨트롤러),배전반",055-603-0011,055-603-0022
163,(주)다프,경상남도 창원시 의창구 대산면 가술리 666-2번지,산업처리공정 제어장비 제조업,로봇자동화 부품,055-274-5132,055-275-5132
164,(주)담원조경건설,경상남도 창원시 의창구 차룡로 41 (팔용동),그 외 기타 달리 분류되지 않은 제품 제조업,"파라솔,썬차일,파고라,어닝",055-294-7900,055-294-8902
165,(주)대건이엔지,경상남도 창원시 성산구 공단로98번길 22 (신촌동),절삭가공 및 유사처리업,금형부품,,055-901-0135
166,(주)대건테크,"경상남도 창원시 의창구 사화로 138 (팔용동, (주)대건테크)",절연 코드세트 및 기타 도체 제조업 외 4 종,"전자제어장치, 케이블하네스,3D프린터",055-250-8000,055-294-5527
167,(주)대경,경상남도 창원시 마산합포구 진북면 연동로 177,비금속광물 분쇄물 생산업,건설용 분쇄골재,055-271-1980,055-271-7919
168,(주)대경개발,경상남도 창원시 진해구 남영로544번길 6 (남양동),비금속류 해체 및 선별업 외 2 종,재생골재,055-547-6525,055-547-6526
169,(주)대경열처리,경상남도 창원시 성산구 성주로81번길 26 (남산동),금속 열처리업,금속제품,055-261-1745,055-261-1749
170,(주)대경정공,"경상남도 창원시 성산구 반월로60번길 21 (신촌동, (주)대경정공)",자동차 엔진용 신품 부품 제조업 외 20 종,"건설중장비부품,공작기계부품",055-286-4585,055-286-4588
171,(주)대경테크윈,경상남도 창원시 의창구 팔용로346번길 18 (팔용동),그 외 기타 전기장비 제조업,에어컨 등 동 배관부품,055-253-1724,055-253-1723
172,(주)대광엠씨,"경상남도 창원시 성산구 반월로68번길 26, 제ㄴ동 (신촌동)",그 외 기타 분류 안된 금속 가공 제품 제조업 외 3 종,"금형, 산업기계",055-282-9469,055-284-9469
173,(주)대광오토,경상남도 창원시 의창구 대산면 봉강가술로 586,"탭, 밸브 및 유사장치 제조업",관이음쇠,,
174,(주)대균 1공장,경상남도 창원시 마산회원구 자유무역3길 130 (양덕동),절삭가공 및 유사처리업 외 1 종,"에어컨, 냉장고부품",055-287-0935,055-287-0038
175,(주)대균 2공장,경상남도 창원시 마산회원구 자유무역3길 114 (양덕동),절삭가공 및 유사처리업 외 1 종,"에어컨, 냉장고 부품",055-287-0935,055-287-0038
176,(주)대덕,경상남도 창원시 마산회원구 내서읍 함마대로 2536-10 (공장) 외 2필지,건설 및 채광용 기계장비 제조업 외 1 종,선박용부품,055-231-0013,055-231-6141
177,(주)대덕기업,"경상남도 창원시 성산구 남면로113번길 25-44 (대원동, (주)대덕테크)",금속 절삭기계 제조업,"공작기계, 방산부품 등",055-261-3701,055-261-3703
178,(주)대도에스알디,경상남도 창원시 마산회원구 봉암공단로 12 (봉암동),그 외 기타 특수목적용 기계 제조업 외 1 종,자동도어,,
179,(주)대도화성,"경상남도 창원시 마산회원구 봉암공단4길 96 (봉암동, 주택) 외 1필지","플라스틱 포대, 봉투 및 유사제품 제조업",비닐봉투 외,055-256-5446,055-256-5443
180,(주)대동사,"경상남도 창원시 의창구 팔용로371번길 26 (팔용동, 주식회사대동사)",도금업,도금,055-295-4401,055-295-4402
181,(주)대동사,경상남도 창원시 의창구 팔용로371번길 19 (팔용동),도금업,도금,055-295-4401,055-295-4407
182,(주)대동사,경상남도 창원시 의창구 차룡단지로 188 (팔용동),도장 및 기타 피막처리업,금속제품 표면처리,055-295-4401,055-295-4407
183,(주)대동씨엠,경상남도 창원시 진해구 남의로43번길 43 (남양동),선철주물 주조업 외 3 종,"주물, CAM SHAFT",055-551-9761,055-551-9763
184,(주)대동퍼시픽,"경상남도 창원시 성산구 창원대학로 20, 1층 3호 (퇴촌동, 창원대학교)",암면 및 유사제품 제조업 외 1 종,폴리우레탄계시멘트복합체,055-213-4790,055-213-2968
185,(주)대륜기업,경상남도 창원시 진해구 남영로511번길 30 (남양동),건설 및 채광용 기계장비 제조업 외 1 종,"유압실린더 가공품, 자동차적재함",055-551-7611,055-551-0994
186,(주)대륭,경상남도 창원시 의창구 죽전로 86 (팔용동),내연기관 제조업 외 1 종,"해상/산업용 발전기, 내연기관 부품 및 정비",055-297-8228,055-297-7280
187,(주)대림경판,경상남도 창원시 마산합포구 진북면 신촌리 430-23번지,자동차용 금속 압형제품 제조업 외 1 종,금속압형제품제조,055-271-6743,055-271-6745
188,(주)대림에스엔피,경상남도 창원시 마산합포구 진북면 진북산업로 493-38,육상 금속 골조 구조재 제조업 외 1 종,철구조물,055-271-1891,055-271-1890
189,(주)대림에스엔피 3공장,경상남도 창원시 마산합포구 진북면 진북산업로 493-39 외 5필지,선박 구성 부분품 제조업,선박용 강구조물,055-271-1891,055-271-1890
190,(주)대림에스엔피 4공장,경상남도 창원시 마산합포구 진북면 진북산업로 493-39,선박 구성 부분품 제조업,선박구성부분품,055-271-1891,055-271-1890
191,(주)대림테크,경상남도 창원시 의창구 차룡로14번길 22 (팔용동),유압기기 제조업,"유압기기관이음쇠, 피팅",055-297-0577,055-297-0588
192,(주)대명,"경상남도 창원시 의창구 평산로 60 (팔용동, 삼진산업)",변압기 제조업 외 2 종,"중전기부품,볼 및 롤러베어링, 자동차부품",055-299-1211,055-299-1214
193,(주)대명,"경상남도 창원시 마산회원구 자유무역4길 6 (봉암동, 대명)",기타 직물제품 제조업 외 2 종,낙하산 압축기 부품 볼베어링 케이스,055-256-1188,055-256-1189
194,(주)대성,"경상남도 창원시 마산회원구 봉양로 105 (봉암동, 주택)","근무복, 작업복 및 유사의복 제조업 외 2 종",작업복등,055-251-5012,055-255-6146
195,(주)대성,경상남도 창원시 진해구 남영로527번길 43 (남양동),그 외 기타 일반목적용 기계 제조업 외 1 종,압력조정기 및 용단기,055-545-5503,055-545-2078
196,(주)대성스틸,"경상남도 창원시 성산구 완암로 50, 테크동 1층 102호 (성산동, SK테크노파크)",절삭가공 및 유사처리업,자동화기계부품(임)가공,055-600-6363,
197,(주)대성엠텍,경상남도 창원시 진해구 남영로527번길 18 (남양동),반도체 제조용 기계 제조업,반도체/평탄디스플레이,055-551-8141,055-551-8140
198,(주)대성파인텍,경상남도 창원시 의창구 대산면 주남로400번길 37 (총 2 필지) 외 1필지,"산업용 오븐, 노 및 노용 버너 제조업 외 3 종","태양열온수기,심야전기보일러, 태양광발전장치(접속반, 구조물)",055-252-0004,055-252-7363
199,(주)대성파인텍,"경상남도 창원시 성산구 성산패총로24번길 16 (성산동, (주)대성파인텍)",그 외 자동차용 신품 부품 제조업 외 2 종,자동차부품,055-289-4885,055-289-4890
200,(주)대성파인텍,경상남도 창원시 성산구 남면로 627 (외동),그 외 자동차용 신품 부품 제조업 외 1 종,자동차부품(Seat Recliner),055-289-4885,055-289-4890
201,(주)대성파인텍,경상남도 창원시 진해구 남영로527번길 16 (남양동) 외 1필지,그 외 자동차용 신품 부품 제조업 외 3 종,자동차도어락,055-289-4885,
202,(주)대송이엔티,경상남도 창원시 마산합포구 진북면 망곡길 15,육상 금속 골조 구조재 제조업,철구조물,055-272-0215,055-272-0216
203,(주)대야엠티,경상남도 창원시 마산합포구 진북면 산단2길 46-56,강주물 주조업,"플랜트주강부품, 방산부품",055-272-0520,055-272-0521
204,(주)대양기전,경상남도 창원시 의창구 북면 마산길42번길 16,절연 코드세트 및 기타 도체 제조업,가공절연코드,,
205,(주)대양유압,"경상남도 창원시 마산회원구 내서읍 신평로 17, A동",절삭가공 및 유사처리업 외 1 종,"유압블록, 유압부품",055-244-4976,055-244-4977
206,(주)대양이엔지,"경상남도 창원시 마산합포구 진북면 산단2길 46-52, (신촌리 11-4)",액체 펌프 제조업,선박 및 산업용 펌프,055-295-4656,055-291-4677
207,(주)대연,경상남도 창원시 의창구 동읍 의창대로491번길 57-16,배전반 및 전기 자동제어반 제조업 외 2 종,"배전반, 분전반, 자동제어반  등",055-283-2538,
208,(주)대연정공,"경상남도 창원시 성산구 웅남로 316, 3동 1층 107호 외(207,307,407) (웅남동)",절삭가공 및 유사처리업,자동차 부품(가공),055-759-9600,055-759-3470
209,(주)대영기업,"경상남도 창원시 성산구 월림로39번길 29 (신촌동, (주)대영기업)",도장 및 기타 피막처리업 외 2 종,"도장, 전동기 부품",,055-251-7195
210,(주)대영디텍,경상남도 창원시 의창구 팔용로 363 (팔용동),자동차용 금속 압형제품 제조업 외 1 종,벤딩,055-238-7725,055-288-3958
211,(주)대영식품 어업회사법인,경상남도 창원시 마산합포구 진동면 신기리 432-1 외 2필지,수산동물 건조 및 염장품 제조업 외 1 종,"다시팩, 쥐포채, 파래김자반",,055-247-7886
212,(주)대웅셀테크,"경상남도 창원시 진해구 남의로71번길 35 (남양동, 대웅중자)",주형 및 금형 제조업,중자,055-552-7015,055-552-7012
213,(주)대웅테크,경상남도 창원시 성산구 연덕로15번길 75 (웅남동),항공기용 부품 제조업,항공기 부품,055-267-7910,055-267-7911
214,(주)대원기전,"경상남도 창원시 의창구 창원대로363번길 11, 6동 4호 (팔용동, 창원제3표준공장)",배전반 및 전기 자동제어반 제조업,공작기계용 CONTROL BOX ASS'Y,055-286-5580,055-286-4446
215,(주)대원기전,"경상남도 창원시 의창구 창원대로363번길 11, 7동 3층 10 (팔용동, 창원제3표준공장)",배전반 및 전기 자동제어반 제조업,배전반,055-286-5580,055-286-4446
216,(주)대원정공,"경상남도 창원시 성산구 공단로 228-36 (웅남동, 세양쇼트기계) (총 2 필지) 외 1필지",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,특수차량부품,055-286-6395,
217,(주)대유미디어시스템즈,경상남도 창원시 의창구 차룡로48번길 44 (팔용동) 1동 13층 1312호 1동 13층 1312호,유선 통신장비 제조업 외 1 종,통신장비,,
218,(주)대주건영,경상남도 창원시 성산구 남면로113번길 25-28 (대원동),아스팔트 콘크리트 및 혼합제품 제조업,아스콘,055-273-6801,055-273-6803
219,(주)대진중공업,"경상남도 창원시 마산합포구 진북면 진북신촌로 63, (주)대진중공업 (총 2 필지) 외 1필지",구조용 금속 판제품 및 공작물 제조업,해양플랜트 구조구성품,055-271-0074,055-271-1185
220,(주)대창산업,경상남도 창원시 의창구 팔용로346번길 1 (팔용동) 대창산업,구조용 금속 판제품 및 공작물 제조업 외 3 종,"더블바, 케링, 코아판(샌드위치판넬)",055-295-0009,055-297-0033
221,(주)대창판넬,경상남도 창원시 의창구 팔용로346번길 1 (팔용동),구조용 금속 판제품 및 공작물 제조업,샌드위치 판넬,055-295-4856,055-297-0009
222,(주)대풍산업,경상남도 창원시 마산합포구 진북면 연동로 148 (총 3 필지) 외 2필지,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업 외 1 종","벽돌, 블럭, 외 토목자재",055-271-1980,055-271-1982
223,(주)대풍산업,경상남도 창원시 마산합포구 진북면 연동로 119 (총 10 필지) 외 9필지,아스팔트 콘크리트 및 혼합제품 제조업,"아스팔트물질, 아스콘 제조",055-271-1980,055-271-1982
224,(주)대풍산업 제2공장,경상남도 창원시 마산합포구 진북면 연동로 171,비금속광물 분쇄물 생산업,골재(부순모래),055-271-1980,055-271-1980
225,(주)대한기계,"경상남도 창원시 성산구 반월로 61-35 (신촌동, (주)대한기계)",절삭가공 및 유사처리업 외 1 종,"가공기계제조, 기계부품 가공",055-286-7663,055-286-7665
226,(주)대한라이징,"경상남도 창원시 의창구 차상로 182-3 (팔용동, 대한정공)",그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,055-237-8777,055-237-4798
227,(주)대한씨앤에스,경상남도 창원시 성산구 창원대로1144번길 56 (성주동),무기 및 총포탄 제조업 외 5 종,로봇경계시스템 외,055-262-0408,055-275-0408
228,(주)대한엘리베이터,"경상남도 창원시 성산구 완암로 50, 넥스동 7층 717 (성산동, SK테크노파크)",배전반 및 전기 자동제어반 제조업,"승강기 콘솔, 케비넷 제작",055-252-5131,055-252-5106
229,(주)대한이엔지,경상남도 창원시 의창구 평산로8번길 37-16 (팔용동),건설 및 채광용 기계장비 제조업,중장비 부품,055-275-3605,055-275-3604
